type,module,functionBoundaryOwner,line,column,snippet
onclick,05-avatar-life-customization.js,openAvatarStudio,1193,36,"$('[data-avatar-save]', root).onclick = () => { state.avatar=normalizeAvatarV2(state.avatar);setFlag('customizedAvatar'); saveState(true); closeModal(); toast(`Visual de ${playerDisplayName()} salvo!`, 'good'); };"
onclick,05-avatar-life-customization.js,openLifePanel,1201,36,"$('[data-life-avatar]', root).onclick = openAvatarStudio;"
onclick,05-avatar-life-customization.js,openLifePanel,1202,34,"$('[data-life-jobs]', root).onclick = openJobCenter;"
onclick,05-avatar-life-customization.js,openLifePanel,1203,40,"$('[data-life-adventures]', root).onclick = openAdventureHub;"
onclick,05-avatar-life-customization.js,openLifePanel,1204,37,"$('[data-life-transit]', root).onclick = openTransitGuide;"
onclick,05-avatar-life-customization.js,openLifePanel,1205,76,"const cancel=$('[data-life-cancel-companions]',root);if(cancel)cancel.onclick=()=>{for(const npc of world.npcs||[]){npc.following=false;npc.pendingRide=false;npc.passengerMode=null;if(npc.group)npc.group.visible=true;}closeModal();toast('Passeio encerrado com segurança.','good');};"
addEventListener,06-missions-profile-hud-inventory-tools.js,openObjectivesPanel,1374,42,"$('[data-open-coop-center]',root)?.addEventListener('click',openCoopMissionCenter);$('[data-leave-coop]',root)?.addEventListener('click',leaveActiveCoopMission);$('[data-objective-continue]',root)?.addEventListener('click',focusActiveJob);$('[data-objective-map]',root)?.addEventListener('click',()=>{focusActiveJob();setTimeout(openMap,0);});$('[data-objective-jobs]',root)?.addEventListener('click',openJobCenter);$('[data-objective-cancel]',root)?.addEventListener('click',cancelActiveJob);$$('[data-pin-chapter]',root).forEach(btn=>btn.onclick=()=>{pinChapter(btn.dataset.pinChapter);openObjectivesPanel();});"
addEventListener,06-missions-profile-hud-inventory-tools.js,openObjectivesPanel,1374,119,"$('[data-open-coop-center]',root)?.addEventListener('click',openCoopMissionCenter);$('[data-leave-coop]',root)?.addEventListener('click',leaveActiveCoopMission);$('[data-objective-continue]',root)?.addEventListener('click',focusActiveJob);$('[data-objective-map]',root)?.addEventListener('click',()=>{focusActiveJob();setTimeout(openMap,0);});$('[data-objective-jobs]',root)?.addEventListener('click',openJobCenter);$('[data-objective-cancel]',root)?.addEventListener('click',cancelActiveJob);$$('[data-pin-chapter]',root).forEach(btn=>btn.onclick=()=>{pinChapter(btn.dataset.pinChapter);openObjectivesPanel();});"
addEventListener,06-missions-profile-hud-inventory-tools.js,openObjectivesPanel,1374,205,"$('[data-open-coop-center]',root)?.addEventListener('click',openCoopMissionCenter);$('[data-leave-coop]',root)?.addEventListener('click',leaveActiveCoopMission);$('[data-objective-continue]',root)?.addEventListener('click',focusActiveJob);$('[data-objective-map]',root)?.addEventListener('click',()=>{focusActiveJob();setTimeout(openMap,0);});$('[data-objective-jobs]',root)?.addEventListener('click',openJobCenter);$('[data-objective-cancel]',root)?.addEventListener('click',cancelActiveJob);$$('[data-pin-chapter]',root).forEach(btn=>btn.onclick=()=>{pinChapter(btn.dataset.pinChapter);openObjectivesPanel();});"
addEventListener,06-missions-profile-hud-inventory-tools.js,openObjectivesPanel,1374,278,"$('[data-open-coop-center]',root)?.addEventListener('click',openCoopMissionCenter);$('[data-leave-coop]',root)?.addEventListener('click',leaveActiveCoopMission);$('[data-objective-continue]',root)?.addEventListener('click',focusActiveJob);$('[data-objective-map]',root)?.addEventListener('click',()=>{focusActiveJob();setTimeout(openMap,0);});$('[data-objective-jobs]',root)?.addEventListener('click',openJobCenter);$('[data-objective-cancel]',root)?.addEventListener('click',cancelActiveJob);$$('[data-pin-chapter]',root).forEach(btn=>btn.onclick=()=>{pinChapter(btn.dataset.pinChapter);openObjectivesPanel();});"
addEventListener,06-missions-profile-hud-inventory-tools.js,openObjectivesPanel,1374,383,"$('[data-open-coop-center]',root)?.addEventListener('click',openCoopMissionCenter);$('[data-leave-coop]',root)?.addEventListener('click',leaveActiveCoopMission);$('[data-objective-continue]',root)?.addEventListener('click',focusActiveJob);$('[data-objective-map]',root)?.addEventListener('click',()=>{focusActiveJob();setTimeout(openMap,0);});$('[data-objective-jobs]',root)?.addEventListener('click',openJobCenter);$('[data-objective-cancel]',root)?.addEventListener('click',cancelActiveJob);$$('[data-pin-chapter]',root).forEach(btn=>btn.onclick=()=>{pinChapter(btn.dataset.pinChapter);openObjectivesPanel();});"
addEventListener,06-missions-profile-hud-inventory-tools.js,openObjectivesPanel,1374,458,"$('[data-open-coop-center]',root)?.addEventListener('click',openCoopMissionCenter);$('[data-leave-coop]',root)?.addEventListener('click',leaveActiveCoopMission);$('[data-objective-continue]',root)?.addEventListener('click',focusActiveJob);$('[data-objective-map]',root)?.addEventListener('click',()=>{focusActiveJob();setTimeout(openMap,0);});$('[data-objective-jobs]',root)?.addEventListener('click',openJobCenter);$('[data-objective-cancel]',root)?.addEventListener('click',cancelActiveJob);$$('[data-pin-chapter]',root).forEach(btn=>btn.onclick=()=>{pinChapter(btn.dataset.pinChapter);openObjectivesPanel();});"
onclick,06-missions-profile-hud-inventory-tools.js,openObjectivesPanel,1374,546,"$('[data-open-coop-center]',root)?.addEventListener('click',openCoopMissionCenter);$('[data-leave-coop]',root)?.addEventListener('click',leaveActiveCoopMission);$('[data-objective-continue]',root)?.addEventListener('click',focusActiveJob);$('[data-objective-map]',root)?.addEventListener('click',()=>{focusActiveJob();setTimeout(openMap,0);});$('[data-objective-jobs]',root)?.addEventListener('click',openJobCenter);$('[data-objective-cancel]',root)?.addEventListener('click',cancelActiveJob);$$('[data-pin-chapter]',root).forEach(btn=>btn.onclick=()=>{pinChapter(btn.dataset.pinChapter);openObjectivesPanel();});"
onclick,06-missions-profile-hud-inventory-tools.js,openPlayerNameModal,1386,968,"openModal(required?'Escolha seu nome de jogador':'Nome do jogador',`<div class=""player-name-modal""><div class=""player-name-icon"">👤</div><p>${required?'Antes de entrar, escolha o nome que aparecerá para os outros jogadores.':'Este nome aparece sobre seu personagem no multiplayer.'}</p><label class=""field""><span>Nome público</span><input id=""playerNameInput"" maxlength=""18"" autocomplete=""nickname"" inputmode=""text"" value=""${current.replace(/""/g,'&quot;')}"" placeholder=""Ex.: Thiago""></label><small>De 3 a 18 caracteres. Não use telefone, endereço ou informação pessoal sensível.</small><button class=""btn primary xl"" data-save-player-name>Salvar nome</button></div>`,root=>{const input=$('#playerNameInput',root),save=$('[data-save-player-name]',root);setTimeout(()=>input?.focus(),80);const submit=()=>{if(!applyPlayerName(input?.value))return;closeModal();toast(`Nome definido: ${state.profile.name}`,'good',1600);if(typeof onSaved==='function')onSaved();};save.onclick=submit;input?.addEventListen"
addEventListener,06-missions-profile-hud-inventory-tools.js,openPlayerNameModal,1386,991,"openModal(required?'Escolha seu nome de jogador':'Nome do jogador',`<div class=""player-name-modal""><div class=""player-name-icon"">👤</div><p>${required?'Antes de entrar, escolha o nome que aparecerá para os outros jogadores.':'Este nome aparece sobre seu personagem no multiplayer.'}</p><label class=""field""><span>Nome público</span><input id=""playerNameInput"" maxlength=""18"" autocomplete=""nickname"" inputmode=""text"" value=""${current.replace(/""/g,'&quot;')}"" placeholder=""Ex.: Thiago""></label><small>De 3 a 18 caracteres. Não use telefone, endereço ou informação pessoal sensível.</small><button class=""btn primary xl"" data-save-player-name>Salvar nome</button></div>`,root=>{const input=$('#playerNameInput',root),save=$('[data-save-player-name]',root);setTimeout(()=>input?.focus(),80);const submit=()=>{if(!applyPlayerName(input?.value))return;closeModal();toast(`Nome definido: ${state.profile.name}`,'good',1600);if(typeof onSaved==='function')onSaved();};save.onclick=submit;input?.addEventListen"
addEventListener,06-missions-profile-hud-inventory-tools.js,openInventory,1416,234,"</div><div class=""modal-actions""><button class=""btn primary"" data-open-tools>Ferramentas</button>${inv.cookedFish>0?'<button class=""btn"" data-eat-cooked>Comer peixe assado</button>':''}</div>`,root=>{$('[data-open-tools]',root)?.addEventListener('click',openToolbelt);$('[data-eat-cooked]',root)?.addEventListener('click',()=>{if((state.inventory.cookedFish||0)<1)return;state.inventory.cookedFish--;state.needs.hunger=clamp(state.needs.hunger+32,0,100);state.needs.energy=clamp(state.needs.energy+6,0,100);saveState(true);updateHUD();toast('Peixe assado consumido.','good');openInventory();});});"
addEventListener,06-missions-profile-hud-inventory-tools.js,openInventory,1416,302,"</div><div class=""modal-actions""><button class=""btn primary"" data-open-tools>Ferramentas</button>${inv.cookedFish>0?'<button class=""btn"" data-eat-cooked>Comer peixe assado</button>':''}</div>`,root=>{$('[data-open-tools]',root)?.addEventListener('click',openToolbelt);$('[data-eat-cooked]',root)?.addEventListener('click',()=>{if((state.inventory.cookedFish||0)<1)return;state.inventory.cookedFish--;state.needs.hunger=clamp(state.needs.hunger+32,0,100);state.needs.energy=clamp(state.needs.energy+6,0,100);saveState(true);updateHUD();toast('Peixe assado consumido.','good');openInventory();});});"
onclick,06-missions-profile-hud-inventory-tools.js,openToolbelt,1431,773,"openModal('Ferramentas',`<div class=""tool-grid"">${Object.entries(TOOL_DEFS).map(([id,tool])=>`<button class=""tool-card ${state.tools.equipped===id?'active':''}"" data-equip-tool=""${id}""><span>${tool.icon}</span><b>${tool.name}</b><small>${tool.description}</small><em>${state.tools.equipped===id?'Em uso':'Equipar'}</em></button>`).join('')}</div><div class=""resource-summary""><span>🪵 ${state.tools.harvested.wood||0}</span><span>🪨 ${state.tools.harvested.stone||0}</span><span>🟨 ${state.tools.harvested.gold||0}</span><span>💧 ${state.tools.harvested.water||0}</span><span>🪱 ${state.tools.harvested.bait||0}</span><span>🌾 ${state.tools.harvested.crops||0}</span><span>🟫 ${state.tools.harvested.clay||0}</span></div>`,root=>{$$('[data-equip-tool]',root).forEach(btn=>btn.onclick=()=>{equipTool(btn.dataset.equipTool);closeModal();});});"
addEventListener,08-map-parent-settings.js,openMap,1697,66,"const bindRoute=()=>{$('[data-route-selected]',selection)?.addEventListener('click',e=>setWaypoint(e.currentTarget.dataset.routeSelected));$$('[data-cluster-location]',selection).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.clusterLocation));};"
onclick,08-map-parent-settings.js,openMap,1697,202,"const bindRoute=()=>{$('[data-route-selected]',selection)?.addEventListener('click',e=>setWaypoint(e.currentTarget.dataset.routeSelected));$$('[data-cluster-location]',selection).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.clusterLocation));};"
onclick,08-map-parent-settings.js,openMap,1699,123,"requestAnimationFrame(fitMapToViewport);setTimeout(fitMapToViewport,100);$$('[data-map-list]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapList));$$('[data-map-marker]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapMarker));$('[data-clear-waypoint]',root)?.addEventListener('click',clearWaypoint);bindRoute();"
onclick,08-map-parent-settings.js,openMap,1699,221,"requestAnimationFrame(fitMapToViewport);setTimeout(fitMapToViewport,100);$$('[data-map-list]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapList));$$('[data-map-marker]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapMarker));$('[data-clear-waypoint]',root)?.addEventListener('click',clearWaypoint);bindRoute();"
addEventListener,08-map-parent-settings.js,openMap,1699,309,"requestAnimationFrame(fitMapToViewport);setTimeout(fitMapToViewport,100);$$('[data-map-list]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapList));$$('[data-map-marker]',root).forEach(btn=>btn.onclick=()=>selectMapLocation(btn.dataset.mapMarker));$('[data-clear-waypoint]',root)?.addEventListener('click',clearWaypoint);bindRoute();"
addEventListener,08-map-parent-settings.js,refreshOpenMapAfterResize,1704,10,"window.addEventListener('resize',refreshOpenMapAfterResize,{passive:true});window.addEventListener('orientationchange',refreshOpenMapAfterResize,{passive:true});"
addEventListener,08-map-parent-settings.js,refreshOpenMapAfterResize,1704,85,"window.addEventListener('resize',refreshOpenMapAfterResize,{passive:true});window.addEventListener('orientationchange',refreshOpenMapAfterResize,{passive:true});"
