occurrence,module,functionBoundaryOwner,line,column,snippet
16,00-runtime-foundation.js,repairVehicleV704,26,47,"const safePointerRelease=(element,pointerId)=>{try{if(element?.hasPointerCapture?.(pointerId))element.releasePointerCapture(pointerId);return true;}catch{return false;}};"
17,00-runtime-foundation.js,towVehicleToWorkshopV704,30,28,const safeLocalGet = key => { try { return window.localStorage?.getItem(key) ?? null; } catch { return null; } };
18,00-runtime-foundation.js,towVehicleToWorkshopV704,31,37,"const safeLocalSet = (key, value) => { try { window.localStorage?.setItem(key, value); return true; } catch { return false; } };"
19,00-runtime-foundation.js,towVehicleToWorkshopV704,32,31,const safeLocalRemove = key => { try { window.localStorage?.removeItem(key); return true; } catch { return false; } };
20,36a-vehicle-damage-repair-v704.js,openBrokenVehicleOptionsV704,32,415,"function openBrokenVehicleOptionsV704(vehicle){const d=vehicleDurabilityV704(vehicle);openModal('Veículo quebrado',`<p><b>${escapeHtml(vehicle?.label||'Veículo')}</b> está com ${d}% de integridade e não pode continuar.</p><div class=""modal-actions""><button class=""btn primary"" data-v704-tow>🚚 Rebocar para oficina • 20 moedas</button><button class=""btn good"" data-v704-repair>🛠 Reparar agora</button></div>`,root=>{$('[data-v704-tow]',root).onclick=()=>{if(towVehicleToWorkshopV704(vehicle))closeModal();};$('[data-v704-repair]',root).onclick=()=>{if(repairVehicleV704(vehicle)){closeModal();}};});}"
21,36a-vehicle-damage-repair-v704.js,openBrokenVehicleOptionsV704,32,454,"function openBrokenVehicleOptionsV704(vehicle){const d=vehicleDurabilityV704(vehicle);openModal('Veículo quebrado',`<p><b>${escapeHtml(vehicle?.label||'Veículo')}</b> está com ${d}% de integridade e não pode continuar.</p><div class=""modal-actions""><button class=""btn primary"" data-v704-tow>🚚 Rebocar para oficina • 20 moedas</button><button class=""btn good"" data-v704-repair>🛠 Reparar agora</button></div>`,root=>{$('[data-v704-tow]',root).onclick=()=>{if(towVehicleToWorkshopV704(vehicle))closeModal();};$('[data-v704-repair]',root).onclick=()=>{if(repairVehicleV704(vehicle)){closeModal();}};});}"
22,36a-vehicle-damage-repair-v704.js,openBrokenVehicleOptionsV704,32,548,"function openBrokenVehicleOptionsV704(vehicle){const d=vehicleDurabilityV704(vehicle);openModal('Veículo quebrado',`<p><b>${escapeHtml(vehicle?.label||'Veículo')}</b> está com ${d}% de integridade e não pode continuar.</p><div class=""modal-actions""><button class=""btn primary"" data-v704-tow>🚚 Rebocar para oficina • 20 moedas</button><button class=""btn good"" data-v704-repair>🛠 Reparar agora</button></div>`,root=>{$('[data-v704-tow]',root).onclick=()=>{if(towVehicleToWorkshopV704(vehicle))closeModal();};$('[data-v704-repair]',root).onclick=()=>{if(repairVehicleV704(vehicle)){closeModal();}};});}"
23,00-runtime-foundation.js,gmWaitForStableAccountState,33,32,const configuredRoomIds = () => (window.OTTHI_CONFIG?.rooms || []).map(item => item.id);
24,00-runtime-foundation.js,gmWaitForStableAccountState,33,79,const configuredRoomIds = () => (window.OTTHI_CONFIG?.rooms || []).map(item => item.id);
25,00-runtime-foundation.js,gmWaitForStableAccountState,34,33,const normalizeRoomId = value => {
26,39-gm-admin-panel.js,gmWaitForStableAccountState,34,31,"return new Promise(resolve=>{let settled=false;const finish=()=>{if(settled)return;settled=true;clearTimeout(timer);window.removeEventListener('otthi:account-state-ready',finish);resolve(true);};const timer=setTimeout(finish,120000);window.addEventListener('otthi:account-state-ready',finish,{once:true});});"
27,39-gm-admin-panel.js,gmWaitForStableAccountState,34,67,"return new Promise(resolve=>{let settled=false;const finish=()=>{if(settled)return;settled=true;clearTimeout(timer);window.removeEventListener('otthi:account-state-ready',finish);resolve(true);};const timer=setTimeout(finish,120000);window.addEventListener('otthi:account-state-ready',finish,{once:true});});"
28,39-gm-admin-panel.js,createMountainTerrain,39,27,await dbReady.catch(()=>state);
29,13a-sports-kart-v704.js,createMountainTerrain,41,153,"registerInteractable({id:'athletics-gym',type:'race',icon:'🏃',label:'Atletismo — corridas e voltas',x:cx-8,z:cz-19,radius:3.2,priority:160,action:()=>openRaceCenter()});"
30,00-runtime-foundation.js,createMountainTerrain,42,33,const roomDisplayName = value => {
31,13a-sports-kart-v704.js,createMountainTerrain,42,150,"registerInteractable({id:'football-v704',type:'sport',icon:'⚽',label:'Futebol — iniciar partida',x:cx+8,z:cz-19,radius:3.2,priority:166,action:()=>openFootballV704()});"
32,36a-vehicle-damage-repair-v704.js,createVehicleRepairStationV704,43,79,"function createVehicleRepairStationV704(){if(world?.interactables?.some(item=>item.id==='vehicle-repair-v704'))return;const w=worldLayoutPoint('workshop');registerInteractable({id:'vehicle-repair-v704',type:'repair',icon:'🛠️',label:'Oficina — reparar ou montar veículo',x:w.x,z:w.z+4.8,radius:2.7,priority:235,action:()=>{const vehicle=nearestRepairableVehicleV704();if(vehicle&&vehicleDurabilityV704(vehicle)<100){openBrokenVehicleOptionsV704(vehicle);}else if(typeof openWorldModularGarage==='function')openWorldModularGarage(vehicle?.id||'');}});}"
33,36a-vehicle-damage-repair-v704.js,createVehicleRepairStationV704,43,322,"function createVehicleRepairStationV704(){if(world?.interactables?.some(item=>item.id==='vehicle-repair-v704'))return;const w=worldLayoutPoint('workshop');registerInteractable({id:'vehicle-repair-v704',type:'repair',icon:'🛠️',label:'Oficina — reparar ou montar veículo',x:w.x,z:w.z+4.8,radius:2.7,priority:235,action:()=>{const vehicle=nearestRepairableVehicleV704();if(vehicle&&vehicleDurabilityV704(vehicle)<100){openBrokenVehicleOptionsV704(vehicle);}else if(typeof openWorldModularGarage==='function')openWorldModularGarage(vehicle?.id||'');}});}"
34,00-runtime-foundation.js,createVehicleRepairStationV704,44,50,return window.OTTHI_CONFIG?.rooms?.find(item => item.id === id)?.name || 'Bairro Central';
35,36a-vehicle-damage-repair-v704.js,createCourtV704,46,199,"window.OTTHI_VEHICLE_DAMAGE_V704={durability:vehicleDurabilityV704,broken:vehicleBrokenV704,damage:applyVehicleImpactDamageV704,repair:repairVehicleV704,tow:towVehicleToWorkshopV704,diagnostics:()=>({debris:VEHICLE_DAMAGE_V704.debris.length,currentId:vehicleIdV704(),durability:vehicleDurabilityV704(),broken:vehicleBrokenV704()})};"
36,13a-sports-kart-v704.js,createCourtV704,52,144,"registerInteractable({id,type:'sport',icon:foot?'🏖️':'🏐',label:`${label} — iniciar partida`,x:cx,z:cz-d/2-2,radius:3,priority:165,action:()=>startCourtV704(type)});"
37,39-gm-admin-panel.js,createLakeDepthLayers,53,50,const localSaved=await commitState().catch(()=>false);
38,39-gm-admin-panel.js,openFootballV704,54,92,"const progressSaved=await backend?.syncProgress?.(cloudProgressPayload(),true).catch(()=>false);"
39,40-world-evolution-v702.js,openFootballV704,54,52,for(const hazard of(world.hazards||[]).filter(h=>h.type==='water')){
40,39-gm-admin-panel.js,openFootballV704,55,76,const accountSaved=accountLinked()?await syncGameAccount(true).catch(()=>false):true;
41,13a-sports-kart-v704.js,openFootballV704,56,18,"setTimeout(()=>{const solo=document.getElementById('footballSoloV704'),online=document.getElementById('footballOnlineV704');if(solo)solo.onclick=()=>startFootballV704('solo');if(online)online.onclick=()=>startFootballV704('online');},0);"
42,13a-sports-kart-v704.js,openFootballV704,56,152,"setTimeout(()=>{const solo=document.getElementById('footballSoloV704'),online=document.getElementById('footballOnlineV704');if(solo)solo.onclick=()=>startFootballV704('solo');if(online)online.onclick=()=>startFootballV704('online');},0);"
43,13a-sports-kart-v704.js,openFootballV704,56,207,"setTimeout(()=>{const solo=document.getElementById('footballSoloV704'),online=document.getElementById('footballOnlineV704');if(solo)solo.onclick=()=>startFootballV704('solo');if(online)online.onclick=()=>startFootballV704('online');},0);"
44,39-gm-admin-panel.js,openFootballV704,57,96,"const completed=persisted?await backend?.completeGMGrant?.(grant.grantId,deviceId).catch(()=>false):false;"
45,39-gm-admin-panel.js,queueGMGrant,65,70,"function queueGMGrant(detail={}){gmGrantQueue=gmGrantQueue.catch(()=>false).then(()=>applyGMGrant(detail)).catch(error=>{console.warn('[OTTHI GM] Falha ao aplicar concessão:',error);return false;});return gmGrantQueue;}"
46,39-gm-admin-panel.js,queueGMGrant,65,86,"function queueGMGrant(detail={}){gmGrantQueue=gmGrantQueue.catch(()=>false).then(()=>applyGMGrant(detail)).catch(error=>{console.warn('[OTTHI GM] Falha ao aplicar concessão:',error);return false;});return gmGrantQueue;}"
47,39-gm-admin-panel.js,queueGMGrant,65,121,"function queueGMGrant(detail={}){gmGrantQueue=gmGrantQueue.catch(()=>false).then(()=>applyGMGrant(detail)).catch(error=>{console.warn('[OTTHI GM] Falha ao aplicar concessão:',error);return false;});return gmGrantQueue;}"
48,39-gm-admin-panel.js,updateFarmPlotVisual,66,49,"window.addEventListener('otthi:gm-grant',event=>queueGMGrant(event.detail||{}));"
49,39-gm-admin-panel.js,gmSetBusy,71,126,"function gmSetBusy(busy){gmPanel?.classList.toggle('is-busy',!!busy);gmPanel?.querySelectorAll('button,input').forEach(node=>{if(node.matches('[data-gm-close]'))return;node.disabled=!!busy;});}"
50,40-world-evolution-v702.js,gmItemMeta,73,36,"positions.forEach(([x,z],index)=>{const id=`farm-${index}`,soil=new THREE.Mesh(new THREE.BoxGeometry(3.25,.12,3.25),empty);soil.position.set(x,.13,z);soil.receiveShadow=true;group.add(soil);const crop=new THREE.Group();crop.position.set(x,.2,z);group.add(crop);for(const dx of[-.72,-.24,.24,.72])for(const dz of[-.72,0,.72]){premiumBox(.07,.72,.07,0x4b9f3e,dx,.36,dz,crop);premiumBox(.25,.19,.25,(index+Math.round(dx*10))%2?0xf0c84c:0x6fc44e,dx,.76,dz,crop);}const interactable={id:`farm-plot-${id}`,type:'farm',icon:'🌱',label:'Preparar e plantar',x,z,radius:2.25,priority:178,action:null};const plot={id,x,z,soil,crop,interactable,soilMaterials:{empty,wet}};interactable.action=()=>useFarmPlot(plot);registerInteractable(interactable);WORLD_V702.farmPlots.set(id,plot);updateFarmPlotVisual(plot);});"
51,40-world-evolution-v702.js,gmItemMeta,73,686,"positions.forEach(([x,z],index)=>{const id=`farm-${index}`,soil=new THREE.Mesh(new THREE.BoxGeometry(3.25,.12,3.25),empty);soil.position.set(x,.13,z);soil.receiveShadow=true;group.add(soil);const crop=new THREE.Group();crop.position.set(x,.2,z);group.add(crop);for(const dx of[-.72,-.24,.24,.72])for(const dz of[-.72,0,.72]){premiumBox(.07,.72,.07,0x4b9f3e,dx,.36,dz,crop);premiumBox(.25,.19,.25,(index+Math.round(dx*10))%2?0xf0c84c:0x6fc44e,dx,.76,dz,crop);}const interactable={id:`farm-plot-${id}`,type:'farm',icon:'🌱',label:'Preparar e plantar',x,z,radius:2.25,priority:178,action:null};const plot={id,x,z,soil,crop,interactable,soilMaterials:{empty,wet}};interactable.action=()=>useFarmPlot(plot);registerInteractable(interactable);WORLD_V702.farmPlots.set(id,plot);updateFarmPlotVisual(plot);});"
52,39-gm-admin-panel.js,gmInventoryKeys,74,134,"function gmInventoryKeys(inventory={}){return [...new Set([...Object.keys(GM_ITEM_CATALOG),...Object.keys(inventory||{}).filter(key=>Number.isFinite(Number(inventory[key])))])].sort((a,b)=>gmItemMeta(a).label.localeCompare(gmItemMeta(b).label,'pt-BR'));}"
53,39-gm-admin-panel.js,gmInventoryKeys,74,190,"function gmInventoryKeys(inventory={}){return [...new Set([...Object.keys(GM_ITEM_CATALOG),...Object.keys(inventory||{}).filter(key=>Number.isFinite(Number(inventory[key])))])].sort((a,b)=>gmItemMeta(a).label.localeCompare(gmItemMeta(b).label,'pt-BR'));}"
54,39-gm-admin-panel.js,createDigSites,78,45,const filtered=gmUsers.filter(userRecord=>`${gmUserName(userRecord)} ${userRecord.username||''} ${userRecord.uid}`.toLocaleLowerCase('pt-BR').includes(query));
55,13a-sports-kart-v704.js,createDigSites,79,256,"if(f.time<=0){f.finished=true;const won=f.score[0]>f.score[1];addXP(won?45:20);if(won)addCoins(25);toast(won?'Vitória no futebol!':f.score[0]===f.score[1]?'Empate no futebol.':'Fim de partida. Continue treinando.',won?'good':'warn',2400);setTimeout(()=>stopSportV704(),1800);}"
56,39-gm-admin-panel.js,createDigSites,79,59,"list.innerHTML=filtered.length?filtered.map(userRecord=>`<button class=""gm-user-row ${userRecord.uid===gmSelectedUid?'active':''}"" type=""button"" data-gm-user=""${gmEscape(userRecord.uid)}""><span class=""gm-online-dot ${userRecord.online?'online':''}"" aria-label=""${userRecord.online?'Online':'Offline'}""></span><span><b>${gmEscape(gmUserName(userRecord))}</b><small>${userRecord.username?`@${gmEscape(userRecord.username)}`:'Conta sem usuário'} • nível ${Number(userRecord.level||1)}</small><em>${gmEscape(userRecord.uid.slice(0,10))}…</em></span><strong>🪙 ${Number(userRecord.coins||0)}</strong></button>`).join(''):'<p class=""gm-empty"">Nenhum jogador encontrado.</p>';"
57,40-world-evolution-v702.js,createDigSites,79,549,"for(const [x,z,biome]of sites){const id=`dig-${biome}-${x}-${z}`,mat=v702TextureMaterial(biome==='desert'?'sand':biome==='shore'?'shore':'dirt',biome==='desert'?0xdcb266:0x795333,{repeat:[2,2],roughness:.95});const patch=new THREE.Mesh(new THREE.CylinderGeometry(1.35,1.55,.08,16),mat);patch.position.set(x,groundHeightAt(x,z)+.05,z);worldGroup.add(patch);const site={id,x,z,biome,mesh:patch};WORLD_V702.digSites.set(id,site);registerInteractable({id,type:'dig',icon:'🪱',label:'Cavar por iscas e recursos',x,z,radius:2.35,priority:165,action:()=>useDigSite(site)});}"
58,39-gm-admin-panel.js,createDigSites,80,59,"list.querySelectorAll('[data-gm-user]').forEach(button=>button.addEventListener('click',()=>gmSelectUser(button.dataset.gmUser)));"
59,39-gm-admin-panel.js,createDigSites,80,95,"list.querySelectorAll('[data-gm-user]').forEach(button=>button.addEventListener('click',()=>gmSelectUser(button.dataset.gmUser)));"
60,39-gm-admin-panel.js,gmGrantHistoryMarkup,84,69,"const grants=Object.entries(detail?.grants||{}).map(([id,value])=>({id,...(value||{})})).sort((a,b)=>Number(b.createdAtClient||0)-Number(a.createdAtClient||0));const receipts=detail?.receipts||{};"
61,39-gm-admin-panel.js,gmGrantHistoryMarkup,84,104,"const grants=Object.entries(detail?.grants||{}).map(([id,value])=>({id,...(value||{})})).sort((a,b)=>Number(b.createdAtClient||0)-Number(a.createdAtClient||0));const receipts=detail?.receipts||{};"
62,13a-sports-kart-v704.js,resetCourtServeV704,86,169,"function resetCourtServeV704(c,server){c.serving=server;c.state='serve';c.vx=c.vy=c.vz=0;c.ball.position.set(c.cx,.55,c.cz+(server?6:-6));if(server===1){setTimeout(()=>{if(SPORTS_V704.active===c&&c.state==='serve'){c.vz=-6.2;c.vy=c.foot?5.0:6.5;c.state='rally';}},700);}}"
63,39-gm-admin-panel.js,resetCourtServeV704,86,40,"return grants.slice(0,30).map(grant=>{const receipt=receipts[grant.id]||{},status=receipt.state==='applied'?'Aplicado':receipt.state==='processing'?'Processando':'Pendente';return`<article class=""gm-history-row""><div><b>${gmEscape(gmGrantSummary(grant)||'Concessão')}</b><small>${gmEscape(grant.reason||'Sem observação')} • ${gmFormatDate(grant.createdAtClient)}</small></div><span data-status=""${gmEscape(receipt.state||'pending')}"">${status}</span></article>`;}).join('');"
64,13a-sports-kart-v704.js,courtPointV704,87,310,"function courtPointV704(c,side){c.score[side]++;toast(`${side===0?'Você':'Computador'} marcou!`,side===0?'good':'warn',1200);if(c.score[side]>=7){addXP(side===0?42:16);if(side===0)addCoins(18);toast(side===0?`Vitória no ${c.label}!`:`Fim da partida de ${c.label}.`,side===0?'good':'warn',2200);setTimeout(()=>stopSportV704(),1500);return;}resetCourtServeV704(c,side===0?0:1);}"
65,39-gm-admin-panel.js,gmRenderSelected,89,105,"if(!gmPanel)return;const root=gmPanel.querySelector('[data-gm-detail]'),userRecord=gmUsers.find(item=>item.uid===gmSelectedUid),detail=gmSelectedDetail;"
66,39-gm-admin-panel.js,createThemedCitizens,92,1192,"root.innerHTML=`<section class=""gm-player-header""><div><small>JOGADOR SELECIONADO</small><h3>${gmEscape(gmUserName({...userRecord,...profile}))}</h3><p>${userRecord.username?`@${gmEscape(userRecord.username)} • `:''}<code>${gmEscape(userRecord.uid)}</code></p></div><span class=""gm-player-status ${userRecord.online?'online':''}"">${userRecord.online?`● Online em ${gmEscape(userRecord.room||'um bairro')}`:'○ Offline'}</span></section><div class=""gm-metrics""><div><small>Nível</small><b>${Number(profile.level||1)}</b></div><div><small>XP</small><b>${Number(profile.xp||0)}</b></div><div><small>Moedas atuais</small><b>${Number(profile.coins||0)}</b></div><div><small>Reputação</small><b>${Number(profile.reputation||0)}</b></div></div><form class=""gm-grant-form"" data-gm-grant-form><header><div><h3>Adicionar recompensas</h3><p>Os valores abaixo são somados. O painel nunca diminui nem substitui o saldo atual.</p></div><span class=""gm-positive-only"">Somente +</span></header><label class=""gm-coin-f"
67,40-world-evolution-v702.js,createThemedCitizens,92,77,"for(const [id,name,x,z,color,theme,radius]of specs){if(world.npcs.some(n=>n.id===id))continue;const npc=decorateThemedCitizen(createNPC(id,name,x,z,color,radius),theme);WORLD_V702.citizens.push(npc);}world.worldEvolution.citizens=true;return true;"
68,39-gm-admin-panel.js,createThemedCitizens,93,80,"root.querySelector('[data-gm-grant-form]')?.addEventListener('submit',event=>gmSubmitGrant(event,userRecord));root.querySelector('[data-gm-refresh-user]')?.addEventListener('click',()=>gmSelectUser(userRecord.uid,true));"
69,39-gm-admin-panel.js,createThemedCitizens,93,188,"root.querySelector('[data-gm-grant-form]')?.addEventListener('submit',event=>gmSubmitGrant(event,userRecord));root.querySelector('[data-gm-refresh-user]')?.addEventListener('click',()=>gmSelectUser(userRecord.uid,true));"
70,40-world-evolution-v702.js,createCameraPitchButtons,95,91,"if(WORLD_V702.cameraButtonsReady||!els.cameraControls)return;const add=(id,text,label)=>{let b=document.getElementById(id);if(!b){b=document.createElement('button');b.id=id;b.type='button';b.textContent=text;b.setAttribute('aria-label',label);els.cameraControls.insertBefore(b,els.cameraResetBtn||null);}return b;};"
71,40-world-evolution-v702.js,createCameraPitchButtons,96,179,"const up=add('cameraPitchUpBtn','↑','Levantar câmera e olhar mais para baixo'),down=add('cameraPitchDownBtn','↓','Abaixar câmera e olhar para o horizonte');const change=delta=>{cameraPitch=clamp(cameraPitch+delta,-.55,1.35);state.settings.cameraPitch=+cameraPitch.toFixed(3);saveState();toast(cameraPitch<-.15?'Câmera baixa: visão do horizonte.':cameraPitch>.85?'Câmera alta: visão geral.':'Inclinação da câmera ajustada.','good',850);};"
72,40-world-evolution-v702.js,createCameraPitchButtons,97,40,"up.addEventListener('pointerdown',e=>{e.preventDefault();e.stopPropagation();change(.18);},{passive:false});down.addEventListener('pointerdown',e=>{e.preventDefault();e.stopPropagation();change(-.18);},{passive:false});WORLD_V702.cameraButtonsReady=true;"
73,40-world-evolution-v702.js,createCameraPitchButtons,97,150,"up.addEventListener('pointerdown',e=>{e.preventDefault();e.stopPropagation();change(.18);},{passive:false});down.addEventListener('pointerdown',e=>{e.preventDefault();e.stopPropagation();change(-.18);},{passive:false});WORLD_V702.cameraButtonsReady=true;"
74,40-world-evolution-v702.js,createKartVehicleV704,100,473,"if(WORLD_V702.initialized||!worldGroup)return false;ensureWorldEvolutionState();createV702GroundRecovery();world.worldEvolution=world.worldEvolution||{};createDesertBiome();createMountainTerrain();createLakeDepthLayers();createFarmingSystem();createDigSites();createThemedCitizens();createCameraPitchButtons();WORLD_V702.initialized=true;document.documentElement.dataset.otthiWorld='704';document.body.classList.add('otthi-v702-world','otthi-v704-world');setTimeout(()=>{try{world.layoutAuditRuntime=v704RuntimeWorldAudit();}catch(error){console.error('[OTTHI V704] falha na auditoria runtime',error);}},900);return true;"
75,39-gm-admin-panel.js,updateWorldEvolution,103,354,"try{const backend=window.OTTHOS_RTDB,[usersResult,auditResult]=await Promise.all([backend?.gmListUsers?.(),backend?.gmListAudit?.(100)]);if(!usersResult?.ok)throw new Error(usersResult?.error||'Não foi possível listar usuários.');gmUsers=usersResult.users||[];gmAudit=auditResult?.ok?(auditResult.entries||[]):[];if(gmSelectedUid&&!gmUsers.some(item=>item.uid===gmSelectedUid))gmSelectedUid='';if(!gmSelectedUid&&gmUsers.length)gmSelectedUid=gmUsers[0].uid;gmRenderUserList();gmStatus(`Painel atualizado: ${gmUsers.length} usuário(s).`,'success');if(gmSelectedUid)await gmSelectUser(gmSelectedUid,true);else gmRenderSelected();}"
76,13a-sports-kart-v704.js,updateWorldEvolution,106,127,"registerInteractable({id:`vehicle-${id}`,type:'vehicle',icon:'🏎️',label:'Entrar no kart',radius:2.3,priority:170,getPos:()=>({x:group.position.x,z:group.position.z}),available:()=>!vehicle.occupied&&group.visible,action:()=>enterVehicle(vehicle)});return vehicle;"
77,13a-sports-kart-v704.js,updateWorldEvolution,106,183,"registerInteractable({id:`vehicle-${id}`,type:'vehicle',icon:'🏎️',label:'Entrar no kart',radius:2.3,priority:170,getPos:()=>({x:group.position.x,z:group.position.z}),available:()=>!vehicle.occupied&&group.visible,action:()=>enterVehicle(vehicle)});return vehicle;"
78,13a-sports-kart-v704.js,updateWorldEvolution,106,227,"registerInteractable({id:`vehicle-${id}`,type:'vehicle',icon:'🏎️',label:'Entrar no kart',radius:2.3,priority:170,getPos:()=>({x:group.position.x,z:group.position.z}),available:()=>!vehicle.occupied&&group.visible,action:()=>enterVehicle(vehicle)});return vehicle;"
79,40-world-evolution-v702.js,createKartCircuitV704,108,45,createCameraPitchButtons();dbReady.then(()=>{ensureWorldEvolutionState();createCameraPitchButtons();}).catch(()=>{});
80,40-world-evolution-v702.js,createKartCircuitV704,108,114,createCameraPitchButtons();dbReady.then(()=>{ensureWorldEvolutionState();createCameraPitchButtons();}).catch(()=>{});
81,39-gm-admin-panel.js,worldLayoutPoint,109,58,"form.querySelectorAll('[data-gm-item]').forEach(input=>{const amount=gmPositiveInt(input.value),key=gmItemKey(input.dataset.gmItem);if(key&&amount)items[key]=(items[key]||0)+amount;});"
82,40-world-evolution-v702.js,worldLayoutPoint,109,36,"window.OTTHI_WORLD_V702={state:()=>ensureWorldEvolutionState(),initialize:initializeWorldEvolution,terrainHeight:professionalTerrainHeightAt,farm:()=>[...WORLD_V702.farmPlots.values()].map(p=>({id:p.id,...farmPlotRecord(p.id)})),dig:()=>[...WORLD_V702.digSites.keys()],citizens:()=>WORLD_V702.citizens.map(n=>({id:n.id,name:n.name,theme:n.theme})),diagnostics:()=>({version:704,initialized:WORLD_V702.initialized,swimming:!!player.swimming,farmPlots:WORLD_V702.farmPlots.size,digSites:WORLD_V702.digSites.size,citizens:WORLD_V702.citizens.length,waterLayers:WORLD_V702.waterLayers.length})};"
83,40-world-evolution-v702.js,worldLayoutPoint,109,151,"window.OTTHI_WORLD_V702={state:()=>ensureWorldEvolutionState(),initialize:initializeWorldEvolution,terrainHeight:professionalTerrainHeightAt,farm:()=>[...WORLD_V702.farmPlots.values()].map(p=>({id:p.id,...farmPlotRecord(p.id)})),dig:()=>[...WORLD_V702.digSites.keys()],citizens:()=>WORLD_V702.citizens.map(n=>({id:n.id,name:n.name,theme:n.theme})),diagnostics:()=>({version:704,initialized:WORLD_V702.initialized,swimming:!!player.swimming,farmPlots:WORLD_V702.farmPlots.size,digSites:WORLD_V702.digSites.size,citizens:WORLD_V702.citizens.length,waterLayers:WORLD_V702.waterLayers.length})};"
84,40-world-evolution-v702.js,worldLayoutPoint,109,193,"window.OTTHI_WORLD_V702={state:()=>ensureWorldEvolutionState(),initialize:initializeWorldEvolution,terrainHeight:professionalTerrainHeightAt,farm:()=>[...WORLD_V702.farmPlots.values()].map(p=>({id:p.id,...farmPlotRecord(p.id)})),dig:()=>[...WORLD_V702.digSites.keys()],citizens:()=>WORLD_V702.citizens.map(n=>({id:n.id,name:n.name,theme:n.theme})),diagnostics:()=>({version:704,initialized:WORLD_V702.initialized,swimming:!!player.swimming,farmPlots:WORLD_V702.farmPlots.size,digSites:WORLD_V702.digSites.size,citizens:WORLD_V702.citizens.length,waterLayers:WORLD_V702.waterLayers.length})};"
