function,module,description,sourceStartLine,sourceEndLineApprox,callCountApprox,if,else,switch,case,for,while,catch,ternaryApprox,calledByBody
normalizeState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",490,550,3,2,0,0,0,0,0,0,65,applyBuildTombstones | normalizeAvatarV2 | normalizeBuildTombstones
loadState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",551,599,6,10,2,0,0,1,0,4,5,ensureDailyChallenges | normalizeState | updateDailyBadge | updateHUD | updateLobbyStats
commitState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",600,616,7,0,0,0,0,0,0,2,1,applyBuildTombstones | ensureDailyChallenges | normalizeBuildTombstones | syncCloudProgress | syncGameAccount | updateDailyBadge | updateLobbyStats
saveState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",617,624,1,1,0,0,0,0,0,0,0,commitState
cloudProgressPayload,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",625,633,0,0,0,0,0,0,0,0,27,
syncCloudProgress,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",634,637,2,1,0,0,0,0,0,0,2,cloudProgressPayload | hasValidPlayerName
mergeCloudProgress,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",638,659,12,3,0,0,0,0,0,1,55,mergeBuildCollections | mergeBuildTombstones | mergeEntityCollections | normalizeAvatarV2 | normalizeState | reconcileWorldBuilds | syncCloudProgress | toast | updateHUD | updateLobbyStats | updatePlayerNameUI
accountLinked,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",660,660,0,0,0,0,0,0,0,0,1,
accountPromptWasHandled,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",661,661,0,0,0,0,0,0,0,0,0,
accountStatusText,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",662,678,2,4,0,0,0,0,0,0,7,accountLinked | publicPlayerName
syncGameAccount,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",679,740,14,17,0,0,0,0,0,1,20,accountLinked | applyPlayerName | commitState | normalizeState | publicPlayerName | sanitizePlayerName | saveState | updateHUD | updateLobbyStats | updatePlayerNameUI
openAccountForm,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",741,749,5,4,2,0,0,0,0,1,9,closeModal | escapeHtml | openAccountCenter | openModal | toast
openAccountCenter,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",750,758,12,1,0,0,0,0,0,0,12,accountLinked | addXP | closeModal | escapeHtml | openAccountForm | openAccountLogoutGate | openModal | openPlayerNameModal | saveState | syncGameAccount | toast
openAccountLogoutGate,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",759,757,0,0,0,0,0,0,0,0,0,
addXP,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",758,768,9,3,0,0,0,0,0,0,2,awardMedal | closeModal | openAccountCenter | openAccountLogoutGate | openModal | saveState | toast | updateHUD
addCoins,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",769,772,2,0,0,0,0,0,0,0,0,saveState | updateHUD
addReputation,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",773,776,2,0,0,0,0,0,0,0,0,saveState | updateHUD
awardMedal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",777,782,2,1,0,0,0,0,0,0,0,saveState | toast
setFlag,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",783,789,2,1,0,0,0,0,0,0,0,evaluateMissions | saveState
showScreen,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",790,794,1,0,0,0,0,0,0,0,0,updateInstallUI
toast,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",795,800,0,0,0,0,0,0,0,0,0,
vibrate,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",801,803,0,1,0,0,0,0,0,0,0,
beep,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",804,818,0,2,0,0,0,0,0,1,0,
openModal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",819,833,1,3,0,0,0,0,0,0,4,scheduleStableResize
closeModal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",834,851,4,4,1,0,0,0,0,0,4,cancelFishingSession | clearExtensionPreview | startEngineSound | stopFishingVisual
confirmModal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",852,865,4,1,0,0,0,0,0,0,1,closeModal | openModal
updateInstallUI,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",866,913,2,5,0,0,0,0,0,0,5,openModal | toast
isOfficialOtthiGameAddress,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",914,1042,7,17,1,0,0,0,0,8,7,openModal | saveState | toast | updateInstallUI
localDateKey,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1043,1043,0,0,0,0,0,0,0,0,0,
daysBetween,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1044,1044,0,1,0,0,0,0,0,0,0,
ensureDailyChallenges,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1045,1045,3,1,0,0,0,0,1,0,3,daysBetween | localDateKey | saveState
dailyDefinition,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1046,1046,0,0,0,0,0,0,0,0,0,
trackDaily,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1047,1052,3,5,0,0,0,1,0,0,0,ensureDailyChallenges | saveState | updateDailyBadge
updateDailyBadge,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1053,1053,1,2,0,0,0,0,0,0,1,ensureDailyChallenges
claimDailyQuest,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1054,1067,9,1,0,0,0,0,0,0,1,addCoins | addReputation | addXP | beep | dailyDefinition | openDailyChallenges | saveState | toast | vibrate
seeded,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1068,1068,0,0,0,0,0,0,0,0,0,
shuffled,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1069,1069,0,0,0,0,0,0,0,0,0,
choiceSet,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1070,1070,2,0,0,0,0,0,0,0,0,shuffled
mathRound,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1071,1079,4,5,0,0,0,0,0,0,8,choiceSet
portugueseRound,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1080,1088,5,5,0,0,0,0,0,0,6,choiceSet | shuffled
englishRound,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1089,1097,5,5,0,0,0,0,0,0,2,choiceSet
generateEducationRounds,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1098,1098,1,0,0,0,0,0,0,0,2,seeded
subjectLevelRecord,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1099,1099,0,0,0,0,0,0,0,0,0,
subjectUnlocked,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1100,1100,1,0,0,0,0,0,0,0,0,subjectLevelRecord
educationSummary,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1101,1101,1,1,0,0,0,2,0,0,0,subjectLevelRecord
speakKidWord,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1102,1102,0,0,0,0,0,0,0,1,0,
dailyChallengesHtml,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1103,1103,2,0,0,0,0,0,0,0,5,dailyDefinition | ensureDailyChallenges
educationSubjectHtml,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1104,1104,2,0,0,0,0,0,0,0,6,subjectLevelRecord | subjectUnlocked
openEducationHub,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1105,1114,10,5,0,0,0,0,0,0,8,claimDailyQuest | dailyChallengesHtml | educationSubjectHtml | educationSummary | ensureDailyChallenges | openModal | openSocialHub | playerDisplayName | startSoloEducationGame
openChallengeHub,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1115,1115,1,0,0,0,0,0,0,0,1,openEducationHub
openDailyChallenges,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1116,1116,1,0,0,0,0,0,0,0,0,openEducationHub
runEducationGame,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1117,1130,12,6,1,0,0,0,0,0,9,addXP | beep | escapeHtml | finishSoloEducationGame | generateEducationRounds | openModal | speakKidWord
startSoloEducationGame,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1131,1131,3,0,0,0,0,0,0,1,0,closeChallengePrompt | runEducationGame | toast
finishSoloEducationGame,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1132,1134,11,2,1,0,0,0,0,0,6,addCoins | addXP | awardMedal | openEducationHub | openModal | saveState | startSoloEducationGame | subjectLevelRecord
startCinematicEmote,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1135,1137,0,1,0,0,0,0,0,0,0,
triggerEmote,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1138,1148,5,4,0,0,0,0,0,0,4,addXP | beep | startCinematicEmote | toast | vibrate
openQuiz,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1149,1151,1,0,0,0,0,0,0,0,0,openEducationHub
openCollection,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1152,1172,1,0,0,0,0,0,0,0,1,openModal
effectiveAvatarUniform,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",1173,1180,0,1,0,0,0,0,0,0,3,
avatarChoiceGroup,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",1181,1185,1,0,0,0,0,0,0,0,5,effectiveAvatarUniform
openAvatarStudio,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",1186,1195,14,0,0,0,0,0,0,0,2,applyAvatarCustomization | avatarChoiceGroup | closeModal | normalizeAvatarV2 | openModal | playerDisplayName | saveState | setFlag | toast | updateAvatarV2LegacyChoice
openLifePanel,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",1196,1211,3,2,0,0,0,1,0,0,1,closeModal | openModal | toast
openMolds,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",1212,1214,2,0,0,0,0,0,0,0,0,openModal | playerDisplayName
openHow,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",1215,108,0,0,0,0,0,0,0,0,0,
worldLayoutPoint,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,109,109,4,2,0,0,0,0,0,0,1,ensureWorldEvolutionState | renderMat
worldLayoutRect,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,110,110,1,2,0,0,0,0,0,0,3,premiumBox
worldLayoutStructure,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,111,111,2,2,0,0,0,2,0,0,6,gmStatus | worldLayoutPoint
v704RectOverlap,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,112,112,1,0,0,0,0,0,0,0,1,gmGrantSummary
v704PointInRect,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,113,113,3,1,0,0,0,1,0,0,2,gmUserName | premiumBox
v704RoadFootprint,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,114,114,3,0,0,0,0,1,0,0,4,gmSetBusy | gmStatus | premiumBox
v704RoadAt,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,115,115,5,1,0,0,0,0,0,0,4,gmStatus | gmUserName | v704PointInRect | v704RoadFootprint | worldLayoutPoint
v704ZoneAt,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,116,116,7,0,0,0,0,0,0,1,1,createKartVehicleV704 | gmStatus | safeAvatarId | v704PointInRect
v704ConstructionAt,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,117,117,2,0,0,0,0,0,0,0,2,gmSetBusy | v704PointInRect
v704ProtectedRectangles,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,118,118,4,0,0,0,0,0,0,0,1,createSignpost | registerInteractable | startKartRaceV704 | worldLayoutStructure
v704ReservedAt,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,119,119,4,1,0,0,0,0,0,0,0,ensureGMPanel | v704PointInRect | v704ProtectedRectangles | v704RoadAt
v704BuildAllowedAt,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,120,120,4,2,0,0,0,0,0,0,0,safeAvatarColor | startKartRaceV704 | v704RectOverlap | v704RoadFootprint
v704NearestConstructionSlot,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,121,121,3,4,0,0,0,0,0,0,5,enterVehicle | toast
v704PathRect,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,122,122,1,0,0,0,0,0,0,0,1,currentVehicleRef
v704StaticWorldAudit,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,123,139,44,40,1,0,0,13,0,1,18,addCoins | addXP | beep | box | closeGMPanel | closeModal | courtHitV704 | cylinder | defaultAvatarV2 | ensureGMPanel | footballKickV704 | gmRenderSelected | handleActiveSportActionV704 | normalizeAvatarV2 | openGMAccessGate | openModal | registerGMHiddenTrigger | safeLegacyAvatarChoice | stopSportV704 | toast | updateKartRaceV704 | v704HideRaceHud | v704PathRect | v704PointInRect | v704PublishSport | v704RectOverlap | v704RoadFootprint | v704SetRaceHud | worldLayoutStructure
v704ActualHouseRect,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,140,140,4,2,0,0,0,0,0,1,0,ensureGMState | registerGMHiddenTrigger | worldLayoutStructure
v704RuntimeWorldAudit,05a-world-layout-v704.js,Fonte central de verdade do layout mundial V704,141,1315,351,178,10,0,0,24,2,22,366,accountLinked | accountPromptWasHandled | accountStatusText | addCoins | addReputation | addXP | applyAvatarCustomization | applyBuildTombstones | applyPlayerName | applyVisualQualityBudget | avatarChoiceGroup | avatarFoundationDiagnostics | awardMedal | beep | cancelFishingSession | choiceSet | claimDailyQuest | clearExtensionPreview | closeChallengePrompt | closeModal | cloudProgressPayload | commitState | confirmModal | createAvatarRigFoundation | createManagedLOD | dailyChallengesHtml | dailyDefinition | daysBetween | defaultAvatarV2 | educationSubjectHtml | educationSummary | effectiveAvatarUniform | englishRound | ensureDailyChallenges | escapeHtml | evaluateMissions | finishSoloEducationGame | generateEducationRounds | hasValidPlayerName | isOfficialOtthiGameAddress | loadState | localDateKey | mathRound | mergeBuildCollections | mergeBuildTombstones | mergeCloudProgress | mergeEntityCollections | nearestRoadProjection | normalizeAvatarV2 | normalizeBuildList | normalizeBuildRecord | normalizeBuildTombstones | normalizeState | openAccountCenter | openAccountForm | openAccountLogoutGate | openAvatarStudio | openChallengeHub | openCollection | openDailyChallenges | openEducationHub | openHow | openLifePanel | openModal | openMolds | openPlayerNameModal | openQuiz | openSocialHub | outlineBelongsToPlayer | playerDisplayName | portugueseRound | positionBlockedForPlayer | publicPlayerName | reconcileWorldBuilds | registerVisualAsset | runEducationGame | safeAvatarColor | safeAvatarId | safeLegacyAvatarChoice | sanitizePlayerName | saveState | scheduleStableResize | seeded | setFlag | showScreen | shuffled | speakKidWord | stableBuildId | startCinematicEmote | startEngineSound | startSoloEducationGame | stopFishingVisual | subjectLevelRecord | subjectUnlocked | syncCloudProgress | syncGameAccount | toast | trackDaily | triggerEmote | updateAvatarV2LegacyChoice | updateCourtV704 | updateDailyBadge | updateFootballV704 | updateHUD | updateInstallUI | updateKartRaceV704 | updateLobbyStats | updateManagedOutlineVisibility | updateManagedVisualLODs | updatePlayerNameUI | updateVisualAsset | updateWorldSportsV704 | v704PointInRect | v704ProtectedRectangles | v704PublishSport | v704RectOverlap | v704RoadFootprint | vibrate | visualAssetStatus | visualFoundationDiagnostics | visualQualityProfile | worldLayoutPoint
deriveMissionFlags,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1316,1327,0,0,0,0,0,0,0,0,1,
evaluateMissions,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1328,1345,5,2,0,0,0,1,0,0,3,addCoins | awardMedal | deriveMissionFlags | toast | updateMissionHUD
updateMissionHUD,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1346,1366,3,3,0,0,0,0,0,0,3,activeJobProgress | coopMissionProgressLabel | playerText
objectiveStatusLabel,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1367,1367,0,0,0,0,0,0,0,0,1,
skillMasterySummary,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1368,1368,0,0,0,0,0,0,0,0,1,
pinChapter,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1369,1369,4,0,0,0,0,0,0,0,1,evaluateMissions | saveState | toast | updateMissionHUD
openObjectivesPanel,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1370,1377,11,0,0,0,0,0,0,0,21,activeCoopMission | activeJobProgress | coopMissionBriefingMarkup | deriveMissionFlags | focusActiveJob | missionBriefingMarkup | openModal | pinChapter | playerText | skillMasterySummary
sanitizePlayerName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1378,1378,0,0,0,0,0,0,0,0,0,
hasValidPlayerName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1379,1379,1,0,0,0,0,0,0,0,0,sanitizePlayerName
playerDisplayName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1380,1380,2,0,0,0,0,0,0,0,1,hasValidPlayerName | sanitizePlayerName
playerText,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1381,1381,4,0,0,0,0,0,0,0,0,playerDisplayName
updatePlayerNameUI,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1382,1382,7,7,0,0,0,0,0,0,8,accountStatusText | hasValidPlayerName | playerDisplayName
applyPlayerName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1383,1383,5,2,0,0,0,0,0,0,8,publicPlayerName | sanitizePlayerName | saveState | toast | updatePlayerNameUI
openPlayerNameModal,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1384,1388,5,3,0,0,0,0,0,0,6,applyPlayerName | closeModal | hasValidPlayerName | openModal | toast
updateLobbyStats,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1389,1395,1,0,0,0,0,0,0,0,0,updatePlayerNameUI
updateHUD,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1396,1410,2,1,0,0,0,0,0,0,2,updateMissionHUD | updatePlayerNameUI
openInventory,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1411,1425,4,1,0,0,0,0,0,0,3,openModal | saveState | toast | updateHUD
equippedTool,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1426,1426,0,0,0,0,0,0,0,0,1,
equipTool,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1427,1429,3,2,0,0,0,0,0,0,0,refreshEquippedToolVisual | saveState | toast
openToolbelt,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1430,1432,3,0,0,0,0,0,0,0,2,closeModal | equipTool | openModal
refreshEquippedToolVisual,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1433,1448,9,6,4,0,0,0,0,0,4,box | renderMat
playToolAnimation,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1449,1455,2,0,0,0,0,0,0,0,1,beep | vibrate
routeLength,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1456,1456,0,0,0,0,0,1,0,0,0,
compactRoute,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1457,1457,0,2,0,0,0,1,0,0,0,
projectPointToSegment,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1458,1458,0,0,0,0,0,0,0,0,0,
navBlocked,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1459,1459,0,3,0,0,0,2,0,0,0,
segmentClear,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1460,1460,1,1,0,0,0,1,0,0,0,navBlocked
nearestRoadProjection,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1461,1461,2,1,0,0,0,1,0,0,1,projectPointToSegment | segmentClear
pointOnRoad,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1462,1462,0,0,0,0,0,0,0,0,0,
projectPointToPolyline,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1463,1467,1,3,0,0,0,1,0,0,1,projectPointToSegment
snapTrafficToRoad,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1468,1473,4,3,0,0,0,0,0,0,4,nearestRoadProjection | pointOnRoad | projectPointToPolyline
